crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
coremidi-sys, 63, 2, 1247, 1247, 58, 440, 445, 1, 89, 89, 0, 0, 0, 0, 0, 0, 48, 0, 48, 0, 0, 0, 0, 0, 0, 56, 56, 59, 57, 162
cose, 0, 5, 994, 994, 85, 126, 158, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
cose-c, 3, 1, 84, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 54
cpufeatures, 1, 4, 467, 467, 15, 237, 237, 3, 29, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2
crc32fast, 80, 7, 1375, 1375, 9, 36, 44, 6, 118, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 3, 25, 7, 155
crossbeam-channel, 98, 16, 7694, 7694, 34, 1160, 1185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 12, 0, 0, 0, 6, 0, 6, 64, 17, 251, 85, 1377
crossbeam-deque, 114, 2, 2306, 2306, 6, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 0, 0, 0, 6, 0, 6, 28, 13, 303, 22, 1085
crossbeam-epoch, 119, 12, 4892, 4892, 20, 39, 54, 15, 1027, 1027, 1, 0, 1, 0, 0, 0, 11, 12, 18, 0, 0, 0, 11, 0, 11, 50, 42, 408, 111, 815
crossbeam-utils, 29, 14, 3995, 3995, 45, 646, 670, 7, 57, 57, 0, 0, 0, 0, 0, 0, 5, 1, 5, 0, 0, 0, 16, 0, 16, 50, 16, 23, 28, 305
d3d12, 140, 14, 2304, 2304, 20, 249, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 117, 99, 142, 101, 879
darling, 0, 2, 202, 202, 2, 89, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
darling_core, 33, 64, 8247, 8247, 335, 696, 977, 18, 818, 818, 0, 0, 0, 0, 0, 0, 21, 1, 21, 0, 0, 0, 0, 0, 0, 159, 27, 117, 113, 1387
darling_macro, 0, 1, 41, 41, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0
dashmap, 96, 20, 4340, 4340, 24, 151, 167, 5, 416, 416, 0, 0, 0, 0, 0, 0, 47, 3, 49, 0, 0, 0, 26, 0, 26, 132, 81, 209, 175, 919
data-encoding, 13, 1, 2393, 2393, 50, 67, 109, 10, 259, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 2, 14, 247
