crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
atty, 1, 1, 209, 209, 0, 0, 0, 6, 144, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 11
block-buffer, 9, 3, 575, 575, 8, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 24, 15, 22, 20, 194
num_cpus, 16, 2, 1052, 1052, 26, 20, 43, 14, 567, 567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26, 10, 139
hashbrown, 481, 18, 17209, 17209, 48, 106, 144, 16, 2952, 2952, 0, 0, 0, 0, 0, 0, 83, 2, 83, 0, 0, 0, 22, 0, 22, 286, 225, 7641, 376, 2581
num-integer, 0, 3, 1842, 1842, 131, 904, 1021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
textwrap, 0, 9, 4579, 4579, 4, 0, 4, 13, 1428, 1428, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0
percent-encoding, 2, 1, 459, 459, 2, 14, 14, 6, 89, 89, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 23
url, 23, 7, 5822, 5822, 137, 180, 299, 2, 12, 12, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 108, 28, 50, 36, 674
mio, 456, 56, 10803, 10803, 175, 1462, 1563, 43, 522, 522, 0, 0, 0, 0, 0, 0, 13, 15, 22, 0, 0, 0, 9, 0, 9, 218, 92, 223, 242, 1884
ansi_term, 2, 9, 1948, 1948, 38, 1, 38, 7, 296, 296, 0, 0, 0, 0, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 40, 2, 2, 10, 51
