crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
derive_arbitrary, 3, 3, 587, 587, 44, 98, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5, 3, 98
derive_arbitrary, 3, 3, 587, 587, 44, 98, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5, 3, 98
devd-rs, 34, 4, 277, 277, 0, 0, 0, 1, 74, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 32, 17, 89
dogear, 2, 8, 8049, 8049, 359, 1694, 1866, 3, 40, 40, 0, 0, 0, 0, 0, 0, 7, 2, 7, 0, 0, 0, 0, 0, 0, 88, 1, 1, 5, 238
either, 10, 3, 1611, 1611, 83, 115, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 38, 2, 5, 4, 74
either, 10, 3, 1611, 1611, 83, 115, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 38, 2, 5, 4, 74
encoding_c, 102, 1, 1184, 1184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 40, 40, 102, 40, 160
encoding_c_mem, 54, 1, 815, 815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 28, 54, 28, 107
encoding_rs, 205, 21, 136899, 136899, 403, 5548, 5863, 46, 5185, 5185, 2, 292, 292, 0, 0, 0, 6, 4, 6, 0, 0, 0, 0, 0, 0, 358, 98, 672, 120, 2874
extend, 0, 1, 656, 656, 29, 24, 52, 1, 11, 11, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
fallible_collections, 308, 14, 7272, 7272, 54, 41, 92, 15, 370, 370, 0, 0, 0, 0, 0, 0, 45, 0, 45, 0, 0, 0, 8, 0, 8, 141, 91, 2506, 222, 2442
fastrand, 0, 1, 705, 705, 36, 170, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0
filetime_win, 8, 1, 261, 261, 5, 29, 31, 1, 36, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 8, 6, 33
flagset, 0, 1, 1267, 1267, 5, 179, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 22, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0
fluent, 0, 1, 107, 107, 1, 24, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fluent-bundle, 0, 18, 2624, 2624, 32, 60, 89, 1, 11, 11, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0
fluent-fallback, 10, 11, 1449, 1449, 24, 192, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 12, 0, 0, 0, 0, 0, 0, 43, 11, 17, 14, 118
fluent-langneg, 0, 4, 358, 358, 8, 27, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0
fluent-pseudo, 2, 1, 134, 134, 0, 0, 0, 1, 35, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 2, 70
fluent-syntax, 12, 16, 3291, 3291, 70, 53, 113, 1, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 14, 8, 144
fluent-testing, 7, 13, 1580, 1580, 44, 1124, 1140, 2, 6, 6, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 13
fnv, 0, 1, 366, 366, 0, 0, 0, 1, 228, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
fs-err, 119, 14, 1854, 1854, 29, 0, 29, 18, 235, 235, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 102, 88, 236, 126, 579
futures, 0, 1, 259, 259, 1, 1, 1, 2, 66, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futures-channel, 21, 6, 2205, 2205, 17, 8, 23, 6, 23, 23, 0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 8, 0, 8, 38, 11, 34, 36, 398
futures-core, 4, 7, 805, 805, 5, 13, 16, 2, 52, 52, 0, 0, 0, 0, 0, 0, 11, 5, 11, 0, 0, 0, 2, 0, 2, 5, 3, 5, 3, 125
futures-executor, 6, 5, 1070, 1070, 9, 5, 13, 5, 29, 29, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 21, 2, 10, 7, 123
futures-io, 0, 1, 557, 557, 0, 0, 0, 1, 531, 531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futures-macro, 6, 5, 699, 699, 44, 267, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 5, 5, 222
futures-sink, 0, 1, 239, 239, 0, 0, 0, 1, 77, 77, 0, 0, 0, 0, 0, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futures-task, 23, 7, 807, 807, 1, 0, 1, 7, 202, 202, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 0, 1, 6, 0, 6, 14, 6, 28, 19, 64
futures-util, 182, 177, 24988, 24988, 471, 2153, 2473, 137, 2329, 2329, 8, 0, 8, 0, 0, 0, 195, 0, 195, 0, 0, 0, 30, 0, 30, 310, 48, 176, 194, 1973
fxhash, 0, 1, 77, 77, 2, 53, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
generic-array, 93, 12, 2334, 2334, 9, 76, 80, 10, 113, 113, 0, 0, 0, 0, 0, 0, 58, 47, 87, 9, 0, 9, 25, 0, 25, 25, 19, 63, 84, 603
getrandom, 127, 25, 1681, 1681, 15, 218, 225, 2, 13, 13, 0, 0, 0, 0, 0, 0, 22, 18, 26, 0, 0, 0, 1, 0, 1, 37, 28, 190, 42, 528
glean, 6, 11, 2608, 2608, 83, 30, 105, 6, 154, 154, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 41, 4, 6, 9, 147
glean, 6, 11, 2608, 2608, 83, 30, 105, 6, 154, 154, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 41, 4, 6, 9, 147
glean, 6, 11, 2608, 2608, 83, 30, 105, 6, 154, 154, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 41, 4, 6, 9, 147
glean, 6, 11, 2608, 2608, 83, 30, 105, 6, 154, 154, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 41, 4, 6, 9, 147
glean, 6, 11, 2608, 2608, 83, 30, 105, 6, 154, 154, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 41, 4, 6, 9, 147
glean, 6, 11, 2608, 2608, 83, 30, 105, 6, 154, 154, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 41, 4, 6, 9, 147
glean, 6, 11, 2608, 2608, 83, 30, 105, 6, 154, 154, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 41, 4, 6, 9, 147
glean, 6, 11, 2608, 2608, 83, 30, 105, 6, 154, 154, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 41, 4, 6, 9, 147
glean-core, 116, 75, 19121, 19121, 389, 477, 771, 38, 4423, 4423, 0, 0, 0, 0, 0, 0, 12, 2, 12, 0, 0, 0, 0, 0, 0, 331, 120, 1177, 157, 2724
glean-core, 116, 75, 19121, 19121, 389, 477, 771, 38, 4423, 4423, 0, 0, 0, 0, 0, 0, 12, 2, 12, 0, 0, 0, 0, 0, 0, 331, 120, 1177, 157, 2724
glean-core, 116, 75, 19121, 19121, 389, 477, 771, 38, 4423, 4423, 0, 0, 0, 0, 0, 0, 12, 2, 12, 0, 0, 0, 0, 0, 0, 331, 120, 1177, 157, 2724
glean-core, 116, 75, 19121, 19121, 389, 477, 771, 38, 4423, 4423, 0, 0, 0, 0, 0, 0, 12, 2, 12, 0, 0, 0, 0, 0, 0, 331, 120, 1177, 157, 2724
glean-core, 116, 75, 19121, 19121, 389, 477, 771, 38, 4423, 4423, 0, 0, 0, 0, 0, 0, 12, 2, 12, 0, 0, 0, 0, 0, 0, 331, 120, 1177, 157, 2724
glean-core, 116, 75, 19121, 19121, 389, 477, 771, 38, 4423, 4423, 0, 0, 0, 0, 0, 0, 12, 2, 12, 0, 0, 0, 0, 0, 0, 331, 120, 1177, 157, 2724
glean-core, 116, 75, 19121, 19121, 389, 477, 771, 38, 4423, 4423, 0, 0, 0, 0, 0, 0, 12, 2, 12, 0, 0, 0, 0, 0, 0, 331, 120, 1177, 157, 2724
glean-core, 116, 75, 19121, 19121, 389, 477, 771, 38, 4423, 4423, 0, 0, 0, 0, 0, 0, 12, 2, 12, 0, 0, 0, 0, 0, 0, 331, 120, 1177, 157, 2724
goblin, 4, 42, 19000, 19000, 238, 3637, 3784, 15, 910, 910, 0, 0, 0, 0, 0, 0, 54, 0, 54, 0, 0, 0, 8, 0, 8, 262, 3, 3, 4, 29
gpu-descriptor, 13, 2, 631, 631, 18, 37, 42, 3, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 15, 6, 259
guid_win, 5, 1, 182, 182, 3, 2, 4, 1, 24, 24, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
h2, 58, 52, 24641, 24641, 492, 981, 1374, 13, 845, 845, 0, 0, 0, 0, 0, 0, 44, 32, 55, 0, 0, 0, 0, 0, 0, 526, 47, 214, 111, 2260
hashbrown, 481, 18, 17209, 17209, 48, 106, 144, 16, 2952, 2952, 0, 0, 0, 0, 0, 0, 83, 2, 83, 0, 0, 0, 22, 0, 22, 286, 225, 7641, 376, 2581
hyper, 130, 57, 16798, 16800, 420, 1435, 1729, 29, 3266, 3266, 0, 0, 0, 0, 0, 0, 49, 10, 53, 1, 0, 1, 12, 0, 12, 90, 19, 49, 117, 2458
indexmap, 47, 16, 7089, 7089, 76, 165, 234, 8, 1248, 1248, 0, 0, 0, 0, 0, 0, 89, 0, 89, 0, 0, 0, 1, 0, 1, 159, 69, 125, 127, 579
inherent, 1, 4, 337, 337, 17, 8, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 8
inplace_it, 13, 6, 740, 740, 161, 7, 167, 2, 65, 65, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 14, 10, 28, 13, 94
intl-memoizer, 2, 2, 177, 177, 0, 0, 0, 1, 57, 57, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 5, 2, 2, 2, 31
intl_pluralrules, 1, 3, 3595, 3595, 7, 57, 60, 1, 38, 38, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 1, 1, 19
itoa, 0, 2, 336, 336, 10, 144, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0
libc, 5953, 220, 109520, 109520, 593, 40876, 40880, 1, 3, 3, 0, 0, 0, 0, 0, 0, 16, 1, 16, 0, 0, 0, 2, 0, 2, 5925, 5878, 5946, 5881, 7596
linked-hash-map, 117, 3, 1757, 1757, 8, 0, 8, 3, 3, 3, 0, 0, 0, 0, 0, 0, 15, 0, 15, 0, 0, 0, 12, 0, 12, 42, 30, 183, 76, 601
linked-hash-map, 117, 3, 1757, 1757, 8, 0, 8, 3, 3, 3, 0, 0, 0, 0, 0, 0, 15, 0, 15, 0, 0, 0, 12, 0, 12, 42, 30, 183, 76, 601
log, 19, 8, 4699, 4699, 26, 358, 361, 16, 1059, 1059, 0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 1, 0, 1, 86, 11, 19, 66, 375
malloc_size_of_derive, 0, 1, 132, 132, 16, 36, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
matches, 0, 3, 178, 178, 8, 105, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
memmap2, 96, 5, 2929, 2929, 0, 0, 0, 4, 609, 609, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 6, 0, 6, 91, 54, 290, 72, 542
metal, 67, 26, 9677, 9677, 1047, 1074, 1897, 1, 3, 3, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 2, 0, 2, 963, 74, 99, 78, 681
mozprofile, 22, 4, 1562, 1562, 7, 4, 10, 2, 257, 257, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 22, 9, 40, 9, 147
mozrunner, 38, 5, 1022, 1022, 6, 0, 6, 6, 367, 367, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 10, 6, 47, 21, 224
mozversion, 17, 1, 425, 425, 5, 3, 7, 2, 97, 97, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 6, 3, 22, 3, 58
naga, 26, 86, 68882, 68882, 2536, 1952, 4186, 21, 589, 589, 0, 0, 0, 0, 0, 0, 39, 13, 49, 0, 0, 0, 0, 0, 0, 271, 89, 499, 294, 25528
naga, 26, 86, 68882, 68882, 2536, 1952, 4186, 21, 589, 589, 0, 0, 0, 0, 0, 0, 39, 13, 49, 0, 0, 0, 0, 0, 0, 271, 89, 499, 294, 25528
