avg_call_stack, crate, fn_decl, callee, effect, dir, file, line, col
1, libc, libc::unix::haiku::native::get_next_thread_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1344, 8
1, libc, libc::unix::solarish::compat::forkpty, close, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 168, 8
1, libc, libc::unix::haiku::native::get_next_port_info, _get_next_port_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1270, 4
1, libc, libc::unix::solarish::compat::getpwent_r, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 181, 5
1, libc, libc::unix::solarish::compat::getgrent_r, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 213, 9
1, libc, libc::unix::linux_like::linux::musl::lfs64::fgetpos64, fgetpos, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 18, 4
1, libc, libc::unix::solarish::compat::cfsetspeed, cfsetospeed, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 39, 4
1, libc, libc::unix::haiku::native::get_cpu_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1236, 8
1, libc, libc::unix::haiku::native::get_next_sem_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1305, 8
1, libc, libc::unix::solarish::compat::openpty, bail, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 90, 15
1, libc, libc::fuchsia::mod::__MHDR_END, UNKNOWN_METHOD::offset, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/fuchsia, mod.rs, 3338, 33
1, libc, libc::unix::solarish::compat::forkpty, openpty, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 131, 7
1, libc, libc::unix::solarish::compat::openpty, ioctl, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 105, 26
1, libc, libc::unix::linux_like::linux::musl::lfs64::fallocate64, fallocate, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 13, 4
1, libc, libc::unix::solarish::compat::openpty, bail, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 77, 15
1, libc, libc::unix::haiku::native::get_team_usage_info, _get_team_usage_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1321, 4
1, libc, libc::unix::solarish::compat::openpty, ptsname, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 75, 21
1, libc, libc::unix::haiku::native::get_next_port_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1274, 8
1, libc, libc::unix::haiku::native::get_sem_info, _get_sem_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1296, 4
1, libc, libc::unix::solarish::compat::bail, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 44, 13
