created_at,description,documentation,downloads,homepage,id,name,repository,updated_at
2017-06-24 22:48:02.47159,Generic extensions for tapping values in Rust,https://docs.rs/tap,11330159,https://github.com/myrrlyn/tap,20530,tap,https://github.com/myrrlyn/tap,2021-02-13 02:43:25.525644
2015-07-10 16:09:41.699659,unix extended filesystem attributes,https://docs.rs/xattr,11323037,,2576,xattr,https://github.com/Stebalien/xattr,2022-05-03 18:09:36.337176
2019-05-07 14:56:54.628954,Task abstraction for building executors,,11300111,,132603,async-task,https://github.com/smol-rs/async-task,2022-07-07 16:08:19.560488
2015-10-10 15:26:24.472017,"Adds String based inflections for Rust. Snake, kebab, camel, sentence, class, title and table cases as well as ordinalize, deordinalize, demodulize, foreign key, and pluralize/singularize are supported as both traits and pure functions acting on String types. ",https://docs.rs/Inflector,11287246,https://github.com/whatisinternet/inflector,3190,Inflector,https://github.com/whatisinternet/inflector,2019-01-20 20:55:29.171696
2018-02-08 19:50:27.564691,Single threaded executor which manage many tasks concurrently on the current thread. ,https://docs.rs/tokio-current-thread/0.1.7/tokio_current_thread,11241827,https://github.com/tokio-rs/tokio,50247,tokio-current-thread,https://github.com/tokio-rs/tokio,2020-02-05 00:32:49.993751
2015-01-26 18:58:06.319376,Contains function definitions for the Windows API library ws2_32. See winapi for types and constants.,https://retep998.github.io/doc/ws2_32/,11202564,,1290,ws2_32-sys,https://github.com/retep998/winapi-rs,2015-12-16 00:01:49.263868
2019-01-25 18:30:48.632173,Synchronization utilities. ,https://docs.rs/tokio-sync/0.1.8/tokio_sync,11132856,https://tokio.rs,110652,tokio-sync,https://github.com/tokio-rs/tokio,2020-02-05 00:23:14.285472
2018-03-19 15:38:15.485407,Pure Rust implementation of the Keccak sponge function including the keccak-f and keccak-p variants ,https://docs.rs/keccak,11124833,,56436,keccak,https://github.com/RustCrypto/sponges/tree/master/keccak,2022-05-24 23:53:32.59992
2015-04-29 21:22:05.812623,"A string interning library for Rust, developed as part of the Servo project.",https://docs.rs/string_cache/,11067861,,1989,string_cache,https://github.com/servo/string-cache,2022-03-27 21:46:40.723994
2017-06-28 06:13:43.920832,Trust-DNS is a safe and secure DNS library. This Resolver library  uses the Client library to perform all DNS queries. The Resolver is intended to be a high-level library for any DNS record resolution see Resolver and AsyncResolver for supported resolution types. The Client can be used for other queries. ,https://docs.rs/trust-dns-resolver,10906328,http://www.trust-dns.org/index.html,21069,trust-dns-resolver,https://github.com/bluejekyll/trust-dns,2022-09-02 14:44:55.59595
2017-12-24 11:03:25.195069,Low level interface to CloudABI. Contains all syscalls and related types.,https://docs.rs/cloudabi/,10862642,https://cloudabi.org/,44274,cloudabi,https://github.com/nuxinl/cloudabi,2019-12-22 05:56:40.40385
2016-10-06 21:19:33.744879,"Traits for Authenticated Encryption with Associated Data (AEAD) algorithms, such as AES-GCM as ChaCha20Poly1305, which provide a high-level API ",https://docs.rs/aead,10642777,,6759,aead,https://github.com/RustCrypto/traits,2022-08-10 02:14:44.668916
2016-01-21 11:52:22.053281,    The resolv.conf file parser ,https://docs.rs/resolv-conf/,10534526,http://github.com/tailhook/resolv-conf,3942,resolv-conf,http://github.com/tailhook/resolv-conf,2020-11-11 18:47:08.715973
2021-11-15 05:19:12.536893,A minimal library that determines the number of running threads for the current process.,,10525851,,481996,num_threads,https://github.com/jhpratt/num_threads,2022-05-04 22:41:19.535862
2015-11-27 10:24:04.913465,An implementation of Keccak derived functions.,,10510703,https://github.com/debris/tiny-keccak,3511,tiny-keccak,,2020-04-01 14:34:13.119797
2019-09-22 19:07:58.69601,A crate for mucking around with piles of bytes.,,10437778,,166863,bytemuck,https://github.com/Lokathor/bytemuck,2022-08-17 03:04:23.10389
2018-12-08 08:25:33.595709,A proc-macro for deriving inner field accessor functions on enums. ,https://docs.rs/enum-as-inner,10416903,,100782,enum-as-inner,https://github.com/bluejekyll/enum-as-inner,2022-08-06 18:34:27.71925
2017-03-21 18:06:00.731309,A library intending to be a base dependency to expose a precomputed hash,,10367976,,9079,precomputed-hash,https://github.com/emilio/precomputed-hash,2017-09-29 20:25:54.097804
2018-11-01 02:51:53.045486,Implementation detail of the `paste` crate,,10274706,,93930,paste-impl,https://github.com/dtolnay/paste,2020-06-21 01:15:54.327585
2019-11-04 21:10:51.429223,rustls-native-certs allows rustls to use the platform native certificate store,,10256930,https://github.com/ctz/rustls-native-certs,178110,rustls-native-certs,https://github.com/ctz/rustls-native-certs,2022-04-14 11:53:00.469496
2018-06-01 22:17:30.262654,"panic in debug, intrinsics::unreachable() in release (fork of debug_unreachable)",https://docs.rs/new_debug_unreachable,10198247,,68142,new_debug_unreachable,https://github.com/mbrubeck/rust-debug-unreachable,2019-12-30 21:12:39.156005
2020-08-06 13:17:41.554742,"Portable interface to epoll, kqueue, event ports, and wepoll",https://docs.rs/polling,10196803,https://github.com/smol-rs/polling,273658,polling,https://github.com/smol-rs/polling,2022-08-21 11:17:50.455358
